id,authors,year,journal,assets,method,best_metric,D1_cost,D1_cost_bp,D2_class_balance,D3_temporal_split,D4_validation,D5_baselines,D6_net_perf,D7_code
33,Michankow et al.,2023,arXiv/preprint,BTC,LSTM+MADL,Directional acc,Partial,not specified,Proposed MADL for direction,Yes temporal,Walk-forward,MSE-based LSTM,Partial,No
34,Sebastiao Godinho,2021,Res Int Business Finance,BTC ETH,ML ensemble,SR 1.5+,Yes,10,Not addressed,Yes temporal,Walk-forward,BnH + random,Yes,No
35,Aboussalah Lee,2020,J Financial Data Sci,BTC ETH,DRL continuous,SR 1.98,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH + UBAH,Yes,Yes GitHub
36,Alessandretti et al.,2018,Complexity,top 100 cryptos,Gradient boosting,Return varies,No,0,Not addressed,Yes temporal,Walk-forward,BnH,No,No
37,Vo Yuen,2020,Expert Sys w/ App,BTC ETH,CNN ensemble,Acc 70.4%,No,0,Not addressed,Yes temporal,Walk-forward,BnH + LSTM,No,No
38,Ortu et al.,2022,PLOS One,BTC,BERT sentiment + LSTM,Acc 57%,No,0,Not addressed,Yes temporal,Walk-forward,LSTM only,No,No
39,Cakici et al.,2024,Int Rev Fin Analysis,100+ cryptos,12 ML models,AUC varies,Partial,not specified,Not addressed,Yes temporal,Expanding window,BnH + factors,Partial,No
40,Koutsouri et al.,2023,Expert Sys w/ App,BTC,DRL (A2C/PPO),SR 1.2,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH,Yes,No
41,Liew Hewlett,2022,J Forecasting,BTC,Random Forest,Acc 67.2%,Partial,assumed,Not addressed,Yes temporal,Walk-forward,LR/naive,Partial,No
42,Helder et al.,2024,Fin Innovation,BTC ETH SOL,Voting ensemble,SR 0.80,Yes,50,Not addressed,Yes temporal,Walk-forward,BnH,Yes,No
43,Valencia et al.,2019,Knowledge-Based Systems,BTC ETH,LSTM/Bayesian,Return 24%,No,0,Not addressed,Yes temporal,Walk-forward,BnH + ARIMA,No,No
44,Slepaczuk Zenkova,2023,MDPI Mathematics,BTC,DQN/Double DQN,SR 0.21,Yes,50,N/A RL,Yes temporal,Walk-forward,BnH,Yes,No
45,Bu Cho,2023,Expert Sys w/ App,BTC,LSTM-attention,Acc 63%,No,0,Not addressed,Yes temporal,Walk-forward,ARIMA/GRU,No,No
46,Ji et al.,2023,Applied Soft Computing,BTC,CNN-BiLSTM,RMSE low,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/GRU,No,No
47,Carta et al.,2021,Expert Sys w/ App,BTC ETH,Multi-objective DRL,Return 18%,Yes,25,N/A RL,Yes temporal,Walk-forward,BnH + DQN,Yes,No
48,Weng et al.,2024,Applied Soft Computing,BTC,DRL + LSTM features,SR 1.6,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH + PPO,Yes,Partial
49,Lucarelli Borrotti,2020,Applied Soft Computing,BTC ETH LTC,DQN variants,Return 60%,Yes,25,N/A RL,Yes temporal,Walk-forward,BnH + simple DQN,Yes,Yes GitHub
50,Zhang et al.,2023,Knowledge-Based Systems,BTC,Transformer,Acc 59%,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/CNN,No,No
51,Kose,2025,J Forecasting,BTC,XGBoost ensemble,R2 0.98,No,0,Not addressed,Yes temporal,Walk-forward,ARIMA/LSTM,No,No
52,Sadorsky,2023,Forecasting,BTC ETH,GRU/LSTM/LightGBM,RMSE best,No,0,Not addressed,Yes temporal,Walk-forward,BnH + random walk,No,No
53,Kim et al.,2023,Mathematics,BTC,BERT sentiment,Acc 55%,No,0,Not addressed,Yes temporal,Walk-forward,LSTM baseline,No,No
54,Sattarov et al.,2023,IEEE Access,BTC ETH,Transformer+CNN,Acc 68%,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/CNN,No,No
55,Chowdhury et al.,2020,Intelligent Systems,BTC,Ensemble (RF/LSTM),Acc 63%,No,0,Not addressed,Yes temporal,Walk-forward,Single models,No,No
56,Dutta et al.,2020,Ann Operations Res,BTC,LSTM/GRU,Return varies,Partial,not specified,Not addressed,Yes temporal,Walk-forward,ARIMA,Partial,No
57,Huang Rojas Cahill,2022,ScienceDirect,100 cryptos,LSTM/GRU/ensemble,SR 3.23,Yes,10,Not addressed,Yes temporal,Expanding window,BnH + momentum,Yes,No
58,Liu Tsyvinski,2021,Rev Financial Studies,BTC ETH XRP,Time-series momentum,SR varies,Yes,assumed,N/A momentum,Yes temporal,Full sample,BnH + equity factors,Yes,No
59,Banerjee et al.,2024,ESWA,BTC,Hybrid CNN-LSTM,Return 85%,No,0,Not addressed,Yes temporal,Walk-forward,Naive + MLP,No,No
60,Zheng et al.,2023,ESWA,BTC ETH,DDPG + blockchain,SR 2.43,Yes,10,N/A RL,Yes temporal,Walk-forward,BnH + DRL baselines,Yes,Partial
61,Kwon et al.,2023,Int J Financial Studies,BTC,XGBoost,Acc 64%,No,0,Not addressed,No random k-fold,5-fold CV,SVM/LR,No,No
62,Abraham et al.,2018,Frontiers,BTC ETH,Twitter sentiment,Acc 77%,No,0,Not addressed,No random split,Random holdout,Naive,No,No
63,Ferdiansyah et al.,2019,IEEE ICITSI,BTC,LSTM-sentiment,Acc 59%,No,0,Not addressed,Yes temporal,Simple holdout,ARIMA,No,No
64,Alonso et al.,2024,MDPI Algorithms,BTC,Double DQN + Bayesian,SR positive,Yes,not specified,N/A RL,Yes temporal,Walk-forward,BnH + random,Yes,Partial
65,Hachicha et al.,2023,Financial Innovation,BTC ETH,NLP + LSTM,Return 15%,No,0,Partial (mentions),Yes temporal,Walk-forward,LSTM only,No,No
66,Tzouvanas et al.,2024,Annals OR,BTC ETH,Gradient boosting,Return varies,Partial,assumed,Not addressed,Yes temporal,Walk-forward,BnH,Partial,No
67,Parekh et al.,2022,PLOS One,BTC,LSTM/GRU,Acc 56%,No,0,Not addressed,Yes temporal,Simple holdout,ARIMA/SVM,No,No
68,Maleki et al.,2023,Applied Intelligence,BTC ETH,GARCH+ML ensemble,Vol forecast,Partial,not specified,Not addressed,Yes temporal,Walk-forward,GARCH,Partial,No
69,Cohen,2023,Int Rev Financial Analysis,BTC,Black-Litterman+ML,SR 1.15,Yes,10,Not addressed,Yes temporal,Walk-forward,BnH + equal weight,Yes,No
70,Huang et al.,2024,U Reading WP,BTC,Volume-weighted mom,SR improved,Yes,assumed,N/A momentum,Yes temporal,Walk-forward,BnH + naive mom,Yes,No
71,Gandal et al.,2023,J Financial Econ,BTC,Market microstructure,N/A,N/A,N/A,N/A,Yes temporal,N/A,N/A,N/A,No
72,Hachicha Prigent,2024,J Frcsting,BTC,GPT-2 + DL,RMSE low,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/ARIMA,No,No
73,Sun et al.,2023,Applied Energy,BTC ETH,TCN-attention,RMSE based,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/GRU,No,No
74,Bustos Pomares-Quimbaya,2020,DYNA Colombia,BTC,Random Forest,Acc 54%,No,0,Not addressed,Yes temporal,Walk-forward,Naive,No,No
75,Otero Caicedo,2022,IEEE Latin America,BTC,SVM/RF/MLP,Acc 57%,No,0,Not addressed,Yes temporal,Walk-forward,Naive/LR,No,No
76,Hassan et al.,2024,Stat (Wiley),BTC,Deep Bayesian LSTM,RMSE low,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/ARIMA,No,No
77,Lee Kim,2024,Expert Sys w/ App,BTC,Hybrid LSTM+XGBoost,R2 0.99,No,0,Not addressed,Yes temporal,Walk-forward,LSTM only,No,No
78,Chen et al.,2024,Applied Intelligence,BTC ETH,Transformer + GAN,Return varies,No,0,Not addressed,Yes temporal,Walk-forward,LSTM/CNN,No,No
79,Ozbayoglu et al.,2020,Applied Soft Computing,Survey,DL survey for finance,N/A survey,Survey,N/A,Not assessed,Not assessed,Not assessed,Not assessed,Not assessed,No
80,Mohapatra et al.,2024,PeerJ Computer Sci,BTC ETH,9 models compared,MAPE varies,No,0,Not addressed,Yes temporal,Walk-forward,ARIMA baseline,No,No
